0 1 2 3 4
76 54 2 6 0
55 96 7 0 0
55 95 8 0 0
68 38 1 9 0
26 90 5 1 0
90 28 4 9 0
63 28 5 7 0
6 63 0 7 0
70 52 8 3 0
23 14 3 2 0
10 17 5 8 0
53 39 9 9 0
88 80 4 6 0
99 89 5 1 0
26 83 0 6 0
34 41 7 4 0
88 80 1 6 0
29 60 4 7 0
62 46 1 0 0
19 87 2 5 0
47 49 4 5 0
46 49 0 2 0
27 11 6 8 0
33 92 7 4 0
8 95 0 8 0
89 30 6 8 0
46 38 5 6 0
2 42 5 0 0
17 90 8 2 0
59 61 7 7 0
76 66 0 4 0
99 2 4 6 0
36 14 2 0 0
42 99 1 3 0
28 30 8 3 0
85 95 6 3 0
92 10 8 7 0
90 71 2 2 0
89 70 8 6 0
5 83 7 0 0
94 3 9 2 0
79 25 3 3 0
29 98 2 5 0
35 5 2 7 0
57 86 7 5 0
21 67 9 8 0
9 92 0 3 0
28 25 0 3 0
53 42 3 2 0
58 91 3 6 0
88 19 2 6 0
63 47 5 0 0
72 75 6 5 0
13 44 5 2 0
78 47 5 8 0
62 30 4 7 0
72 43 3 3 0
11 56 0 6 0
16 28 0 7 0
84 1 5 3 0
29 69 4 9 0
89 99 6 8 0
96 97 1 5 0
19 6 4 6 0
53 50 7 5 0
40 20 3 8 0
94 29 5 0 0
30 88 6 0 0
15 40 5 2 0
28 28 7 6 0
99 44 4 8 0
76 71 5 9 0
41 33 2 5 0
52 49 7 2 0
84 81 9 4 0
63 17 8 5 0
89 47 5 6 0
31 41 6 3 0
91 72 2 1 0
40 61 4 8 0
63 26 4 3 0
37 90 5 3 0
49 49 1 7 0
74 57 1 4 0
60 66 7 1 0
8 65 8 9 0
7 18 6 8 0
65 11 7 9 0
83 47 0 5 0
6 19 5 6 0
29 95 9 9 0
80 63 5 8 0
44 56 2 6 0
97 17 0 2 0
80 77 3 2 0
30 76 9 4 0
17 0 1 8 0
66 5 1 4 0
5 57 3 5 0
14 76 2 1 0
99 57 1 5 0
2 16 0 8 0
98 53 7 6 0
29 84 2 6 0
5 26 6 8 0
18 3 2 9 0
49 72 1 7 0
40 53 1 0 0
32 16 4 6 0
8 98 8 5 0
22 64 6 2 0
93 83 9 5 0
17 99 7 3 0
38 60 8 6 0
77 49 6 8 0
41 83 9 6 0
66 21 1 1 0
5 81 8 8 0
43 18 5 9 0
70 31 9 6 0
61 10 5 5 0
47 43 2 9 0
40 38 3 8 0
34 51 1 5 0
62 89 7 0 0
90 28 2 3 0
24 27 6 9 0
11 69 9 1 0
97 88 8 1 0
46 18 9 7 0
73 82 8 6 0
55 47 5 9 0
85 34 6 4 0
5 7 8 5 0
18 48 1 5 0
36 7 2 2 0
21 20 3 9 0
25 85 9 0 0
32 56 5 0 0
80 96 7 4 0
52 27 3 1 0
7 9 0 6 0
92 92 7 2 0
5 11 3 2 0
52 11 0 4 0
74 54 1 0 0
26 34 0 1 0
95 37 1 5 0
79 72 6 1 0
76 95 5 6 0
15 43 3 1 0
61 54 1 1 0
75 27 3 6 0
23 89 0 7 0
98 51 7 4 0
52 71 5 6 0
2 0 2 7 0
21 94 2 1 0
87 73 2 6 0
31 75 8 6 0
4 38 8 0 0
97 11 9 2 0
42 16 5 0 0
38 73 4 4 0
71 2 0 7 0
93 99 9 5 0
84 79 3 4 0
66 39 1 2 0
87 91 5 2 0
51 83 6 1 0
87 61 7 2 0
23 17 4 0 0
71 81 1 5 0
18 28 2 9 0
97 44 5 6 0
21 46 2 5 0
0 5 6 3 0
41 67 4 5 0
45 35 9 6 0
6 83 6 5 0
57 48 8 2 0
32 96 5 3 0
62 12 9 0 0
31 96 3 4 0
68 4 5 5 0
14 60 5 5 0
95 38 1 4 0
10 9 9 9 0
51 21 9 8 0
61 29 2 1 0
98 74 6 6 0
42 54 3 9 0
12 78 3 2 0
87 57 0 5 0
66 62 5 6 0
21 15 1 2 0
7 67 9 7 0
3 70 5 3 0
36 94 7 3 0
12 17 4 4 0
89 70 1 8 0
78 85 6 2 0
1 35 9 1 0
35 51 1 6 0
20 2 5 5 0
22 95 2 7 0
62 46 8 3 0
73 23 1 3 0
51 16 7 0 0
19 9 9 0 0
6 73 9 4 0
2 51 9 8 0
23 1 5 8 0
77 92 5 9 0
13 46 3 0 0
71 26 3 0 0
12 4 2 4 0
42 45 4 8 0
52 64 1 3 0
56 68 9 1 0
1 27 6 2 0
68 57 2 3 0
99 76 4 8 0
42 39 5 4 0
66 29 2 3 0
64 31 0 1 0
73 3 9 9 0
15 0 6 7 0
68 6 0 1 0
9 28 7 8 0
9 27 6 2 0
50 76 2 2 0
88 91 0 6 0
22 11 8 4 0
97 23 5 3 0
43 95 0 3 0
28 70 0 4 0
72 64 1 8 0
2 59 9 3 0
25 10 4 3 0
9 56 4 6 0
56 88 1 8 0
9 96 3 6 0
15 85 7 5 0
8 14 9 9 0
15 82 7 8 0
54 85 4 1 0
57 63 8 1 0
74 38 4 4 0
58 28 7 4 0
12 28 6 8 0
42 24 8 2 0
72 50 5 3 0
58 3 6 5 0
72 82 7 1 0
37 48 2 3 0
2 51 9 4 0
53 38 7 1 0
89 14 6 2 0
45 31 8 4 0
59 6 2 3 0
45 76 5 8 0
89 64 3 3 0
7 1 9 9 0
4 32 1 3 0
98 7 8 3 0
61 2 7 2 0
60 69 2 9 0
10 35 4 1 0
49 48 8 4 0
83 14 3 5 0
11 80 4 1 0
51 94 2 8 0
67 91 1 6 0
63 74 5 9 0
11 90 4 8 0
30 58 6 1 0
92 32 0 6 0
46 81 7 6 0
96 53 7 2 0
69 55 9 3 0
68 60 0 7 0
12 8 5 5 0
7 12 6 6 0
28 98 6 6 0
18 34 8 5 0
69 29 8 6 0
95 7 9 8 0
55 77 7 6 0
77 65 3 2 0
48 1 1 7 0
93 11 7 6 0
11 42 4 6 0
76 75 3 5 0
85 27 5 6 0
9 29 2 7 0
92 37 9 1 0
64 5 0 7 0
2 87 3 0 0
73 81 7 9 0
23 5 6 2 0
12 79 4 8 0
2 70 5 2 0
4 81 2 2 0
81 93 9 7 0
84 28 0 1 0
16 56 7 4 0
98 15 1 4 0
75 52 6 1 0
67 37 3 7 0
33 50 2 3 0
65 95 7 5 0
98 22 1 9 0
2 71 8 1 0
56 65 0 6 0
66 22 9 0 0
86 28 4 2 0
6 4 0 3 0
86 21 3 5 0
55 3 3 1 0
12 57 9 5 0
19 77 5 5 0
35 76 3 8 0
4 30 3 9 0
51 79 5 5 0
7 3 0 2 0
9 93 6 6 0
61 61 5 9 0
26 19 0 3 0
99 1 3 8 0
57 47 8 3 0
0 40 7 2 0
38 45 6 9 0
30 64 5 2 0
5 84 4 0 0
56 41 3 5 0
28 86 7 5 0
57 92 7 6 0
21 55 8 4 0
97 88 5 6 0
97 32 8 8 0
39 49 6 9 0
35 92 5 5 0
0 87 3 7 0
33 4 9 6 0
50 9 0 4 0
40 69 0 9 0
52 46 4 6 0
67 31 0 8 0
88 63 6 8 0
65 24 7 0 0
26 65 0 3 0
4 43 9 0 0
79 35 7 9 0
92 23 9 2 0
2 80 1 8 0
60 48 0 1 0
60 14 1 0 0
84 32 3 9 0
36 53 4 7 0
40 13 7 5 0
40 56 6 1 0
10 24 2 1 0
52 59 0 1 0
5 44 7 9 0
20 29 4 7 0
88 20 4 7 0
51 52 1 1 0
2 89 2 9 0
14 83 0 4 0
19 74 8 5 0
7 18 7 6 0
61 38 6 9 0
93 27 8 3 0
30 12 1 9 0
58 67 5 5 0
59 54 0 1 0
77 24 6 4 0
13 7 3 3 0
3 66 0 1 0
31 53 8 3 0
9 82 9 2 0
18 54 3 5 0
39 48 3 2 0
70 1 3 3 0
17 65 9 4 0
62 52 4 8 0
80 89 8 8 0
3 69 8 3 0
78 31 9 6 0
35 0 4 1 0
30 35 5 4 0
77 82 4 9 0
89 46 7 4 0
81 35 3 9 0
74 29 0 8 0
90 25 2 3 0
14 94 5 0 0
30 21 3 6 0
15 83 9 4 0
32 78 7 7 0
24 39 9 8 0
88 61 9 8 0
87 45 1 3 0
90 60 1 8 0
15 86 7 7 0
46 41 3 9 0
52 1 9 8 0
70 56 6 9 0
86 38 6 1 0
45 28 9 4 0
45 24 0 2 0
47 48 2 3 0
83 13 0 1 0
23 52 5 4 0
47 4 1 8 0
35 28 6 8 0
36 17 6 0 0
81 26 6 3 0
46 65 0 4 0
17 95 1 3 0
64 26 2 4 0
36 88 3 6 0
91 73 6 5 0
43 36 5 6 0
99 77 3 6 0
78 80 9 0 0
28 58 4 4 0
81 45 0 8 0
58 77 0 0 0
71 94 6 3 0
51 5 1 8 0
76 20 3 2 0
73 47 3 7 0
4 28 3 2 0
53 60 5 8 0
18 43 2 7 0
85 32 8 7 0
47 40 8 7 0
9 6 6 3 0
61 13 0 9 0
40 66 1 4 0
47 56 0 6 0
33 38 3 6 0
29 47 6 9 0
88 82 3 2 0
73 91 1 9 0
89 96 5 7 0
60 22 7 4 0
77 52 8 7 0
45 79 6 3 0
85 66 0 5 0
55 4 1 6 0
98 57 5 9 0
32 38 7 7 0
46 87 7 9 0
65 28 6 4 0
15 23 2 8 0
77 68 5 7 0
11 18 3 4 0
99 55 1 0 0
76 44 9 1 0
13 37 1 9 0
3 99 5 3 0
37 54 6 6 0
72 99 3 7 0
11 13 2 0 0
13 61 4 3 0
67 36 5 5 0
64 69 2 5 0
11 66 0 8 0
92 74 8 4 0
5 86 7 4 0
58 5 9 5 0
82 79 9 8 0
56 7 3 0 0
78 62 0 5 0
20 90 3 6 0
80 9 6 1 0
80 30 6 4 0
88 96 3 7 0
29 16 7 1 0
19 74 7 6 0
95 93 3 5 0
11 30 9 9 0
8 92 9 9 0
43 85 1 1 0
78 79 3 4 0
61 35 5 5 0
99 78 9 7 0
43 56 9 1 0
11 61 4 8 0
22 43 7 3 0
2 56 7 8 0
15 88 0 2 0
77 25 1 4 0
25 52 2 0 0
23 29 8 6 0
65 28 5 2 0
0 11 5 0 0
99 10 2 0 0
12 68 9 6 0
42 42 1 2 0
33 65 3 4 0
84 2 0 5 0
99 52 6 7 0
75 18 5 3 0
21 22 2 8 0
1 47 4 9 0
93 75 7 1 0
37 78 5 6 0
27 52 6 9 0
9 99 4 8 0
68 73 6 2 0
4 99 0 3 0
81 79 1 2 0
19 12 4 0 0
66 62 2 1 0
56 25 8 2 0
4 22 5 2 0
10 10 0 3 0
17 91 6 3 0
89 17 3 9 0
81 11 1 0 0
28 21 2 6 0
10 95 7 0 0
5 16 1 5 0
80 15 3 0 0
37 82 2 0 0
65 45 5 1 0
74 88 6 8 0
9 3 7 8 0
45 17 1 6 0
92 92 0 3 0
27 94 2 2 0
45 22 5 1 0
30 18 6 4 0
40 47 0 4 0
6 72 6 9 0
88 74 7 8 0
1 53 8 7 0
55 77 4 7 0
71 73 1 7 0
19 8 0 9 0
66 11 0 7 0
22 84 9 9 0
15 97 2 3 0
40 45 3 0 0
72 99 5 8 0
73 35 8 2 0
53 97 9 6 0
22 18 0 9 0
60 70 7 7 0
6 18 5 5 0
59 52 7 8 0
41 57 6 6 0
7 46 1 1 0
72 17 5 0 0
80 5 3 3 0
59 96 0 0 0
29 64 5 7 0
29 71 1 6 0
23 2 6 6 0
5 94 8 8 0
61 65 6 6 0
61 45 1 8 0
74 94 7 4 0
29 89 3 9 0
60 93 6 5 0
48 11 1 1 0
58 35 2 6 0
17 17 3 9 0
81 68 0 7 0
26 90 1 9 0
2 71 6 6 0
98 12 5 0 0
53 34 5 2 0
73 63 6 2 0
58 72 1 6 0
27 25 3 4 0
16 73 4 1 0
76 28 2 4 0
73 88 2 1 0
44 53 1 1 0
84 48 0 0 0
83 80 9 8 0
92 57 4 9 0
56 52 8 2 0
40 98 2 0 0
84 81 4 0 0
99 86 6 7 0
78 19 9 8 0
29 46 7 8 0
72 96 0 7 0
39 96 6 1 0
69 15 0 7 0
72 95 7 6 0
26 61 6 5 0
62 12 8 0 0
72 0 4 8 0
8 77 7 4 0
44 26 2 0 0
23 26 3 2 0
10 1 8 0 0
71 48 5 1 0
80 63 4 9 0
8 44 5 4 0
89 46 2 5 0
72 94 1 1 0
30 30 0 7 0
67 89 9 4 0
88 81 0 7 0
80 56 2 1 0
24 43 2 7 0
67 2 5 2 0
45 46 4 1 0
80 4 8 4 0
75 60 0 5 0
91 79 4 4 0
74 5 1 6 0
22 56 4 5 0
95 6 7 5 0
65 35 3 2 0
53 82 2 9 0
78 7 6 4 0
89 63 7 8 0
89 37 1 9 0
35 26 7 5 0
38 23 2 6 0
75 27 3 0 0
66 19 7 2 0
86 7 8 4 0
29 68 8 3 0
56 7 7 8 0
77 17 2 5 0
11 35 1 2 0
56 51 0 1 0
45 31 7 1 0
73 52 6 7 0
31 33 0 5 0
21 31 8 9 0
18 9 7 3 0
60 78 7 7 0
20 17 3 3 0
56 34 8 9 0
60 38 3 2 0
37 24 1 0 0
6 59 3 2 0
23 65 9 4 0
4 96 8 0 0
44 13 8 3 0
85 99 3 8 0
61 50 7 3 0
81 0 9 7 0
54 79 9 4 0
23 44 9 2 0
13 83 7 5 0
93 6 7 5 0
48 86 6 7 0
2 43 2 3 0
32 1 8 2 0
21 90 7 7 0
38 45 2 5 0
72 98 3 4 0
88 51 5 0 0
29 18 7 2 0
20 89 0 2 0
42 69 1 0 0
78 37 0 2 0
93 69 1 2 0
42 41 3 1 0
62 44 8 0 0
85 57 6 1 0
91 65 8 3 0
66 60 2 9 0
41 60 7 0 0
30 7 2 0 0
31 70 4 1 0
59 51 5 1 0
96 57 3 9 0
58 66 6 4 0
62 73 6 2 0
55 34 7 2 0
16 88 1 8 0
63 80 4 9 0
56 97 7 2 0
9 21 4 3 0
1 84 3 3 0
43 43 8 6 0
52 71 9 9 0
49 79 3 1 0
76 18 0 9 0
99 85 6 9 0
85 59 0 7 0
14 98 3 0 0
4 24 4 3 0
25 12 2 0 0
19 14 8 4 0
53 93 2 7 0
25 19 5 9 0
23 76 3 7 0
23 68 8 0 0
20 30 3 7 0
26 19 4 7 0
8 14 4 5 0
97 46 7 5 0
93 48 9 5 0
4 83 6 5 0
19 89 0 1 0
49 44 9 3 0
97 47 5 8 0
78 1 8 4 0
68 51 5 1 0
74 27 5 6 0
29 35 7 3 0
34 46 6 2 0
65 87 7 9 0
86 25 8 4 0
6 59 2 4 0
45 3 2 2 0
51 42 5 6 0
66 32 8 5 0
61 22 8 4 0
37 52 6 4 0
17 14 4 2 0
11 94 4 3 0
11 89 6 9 0
61 27 3 0 0
78 52 9 0 0
75 35 8 9 0
46 48 5 8 0
80 9 2 2 0
88 84 0 9 0
21 41 4 3 0
73 13 5 0 0
92 88 1 7 0
16 49 3 2 0
91 88 4 3 0
28 77 4 1 0
5 98 8 6 0
11 41 2 8 0
93 6 8 0 0
13 2 9 6 0
1 22 4 0 0
62 93 1 6 0
75 39 2 1 0
24 33 9 3 0
1 66 7 0 0
37 60 2 5 0
45 91 1 9 0
68 73 1 2 0
29 97 1 4 0
47 95 9 4 0
71 96 1 8 0
41 18 1 0 0
66 96 7 5 0
45 87 5 9 0
29 66 5 5 0
81 62 3 8 0
57 19 9 5 0
25 70 0 8 0
9 46 4 5 0
76 5 3 6 0
55 71 4 4 0
47 68 4 9 0
27 6 9 8 0
87 20 7 2 0
18 16 1 6 0
66 5 9 0 0
78 49 3 5 0
95 4 3 2 0
60 18 8 3 0
35 46 7 8 0
76 93 8 8 0
22 8 2 7 0
97 61 3 4 0
85 56 2 7 0
61 22 9 9 0
6 93 2 6 0
68 45 0 4 0
14 90 2 0 0
61 6 9 0 0
3 59 0 7 0
23 51 2 2 0
31 8 0 3 0
99 55 6 3 0
73 45 6 5 0
30 64 4 0 0
33 90 4 5 0
77 49 9 3 0
72 33 0 0 0
12 96 5 1 0
18 84 0 7 0
27 34 8 7 0
38 26 3 6 0
1 2 6 9 0
71 6 5 7 0
5 58 8 6 0
26 69 7 0 0
37 51 1 5 0
78 30 9 7 0
71 45 9 7 0
16 76 6 7 0
78 66 4 0 0
31 0 8 7 0
49 49 2 1 0
52 72 5 3 0
45 43 4 2 0
87 97 8 8 0
87 49 3 3 0
62 3 3 1 0
1 96 1 9 0
98 4 1 3 0
86 30 8 9 0
44 80 5 4 0
34 31 5 1 0
76 45 3 0 0
8 60 9 8 0
69 65 8 8 0
12 84 1 0 0
61 78 0 1 0
27 97 8 3 0
62 87 2 3 0
90 59 5 4 0
60 34 1 1 0
64 62 7 5 0
68 97 6 5 0
2 3 8 2 0
42 0 1 6 0
83 1 7 8 0
26 16 0 6 0
17 29 0 4 0
90 75 1 6 0
1 25 2 6 0
17 95 0 5 0
53 82 5 9 0
64 1 1 8 0
63 60 0 0 0
96 20 1 0 0
51 52 9 3 0
14 79 8 5 0
26 1 8 6 0
30 69 6 9 0
89 60 4 4 0
61 7 6 4 0
29 88 8 8 0
96 81 1 6 0
48 60 8 9 0
41 72 4 6 0
48 68 3 7 0
2 74 6 1 0
8 4 3 1 0
82 7 7 1 0
58 85 5 2 0
38 77 1 9 0
72 47 5 1 0
5 82 4 0 0
65 80 8 2 0
91 69 9 6 0
61 5 3 5 0
56 25 2 0 0
80 92 6 3 0
48 31 2 4 0
87 54 6 9 0
30 89 4 3 0
24 68 5 5 0
42 80 4 0 0
45 25 2 2 0
9 6 3 9 0
84 80 3 3 0
30 49 7 1 0
41 57 9 9 0
5 38 0 1 0
52 40 5 3 0
98 51 9 1 0
31 65 9 0 0
60 73 9 4 0
49 89 0 6 0
34 17 3 9 0
91 55 7 9 0
52 13 5 5 0
97 25 7 2 0
32 14 9 9 0
94 43 7 6 0
82 52 2 7 0
54 13 0 7 0
87 68 7 9 0
99 33 7 6 0
86 93 8 2 0
11 40 8 3 0
49 96 7 6 0
94 24 8 7 0
98 27 0 6 0
37 77 4 1 0
48 28 8 0 0
64 30 8 3 0
0 17 4 3 0
21 94 8 2 0
72 61 9 3 0
44 59 3 4 0
25 36 9 7 0
82 32 0 6 0
72 24 1 1 0
27 26 7 5 0
6 89 2 3 0
12 46 5 1 0
18 61 1 4 0
44 53 2 6 0
34 5 9 7 0
43 7 1 6 0
5 61 1 1 0
0 73 9 3 0
86 40 4 8 0
98 6 2 2 0
95 73 2 0 0
44 26 7 8 0
49 46 2 8 0
59 81 4 2 0
37 83 6 1 0
46 82 0 9 0
96 48 2 8 0
93 68 8 1 0
65 20 8 1 0
86 74 7 5 0
29 81 8 1 0
9 32 5 5 0
99 46 5 2 0
72 84 9 9 0
71 91 6 4 0
27 41 3 1 0
94 25 5 0 0
20 43 9 0 0
9 61 3 0 0
18 87 9 2 0
92 17 7 3 0
60 10 3 3 0
16 0 9 8 0
2 3 7 1 0
12 3 0 3 0
98 8 9 0 0
11 22 4 8 0
7 70 0 9 0
69 61 5 1 0
56 72 9 3 0
97 89 0 1 0
37 34 5 0 0
58 70 0 2 0
3 89 0 4 0
78 95 3 5 0
34 99 1 0 0
26 40 8 9 0
14 75 6 5 0
89 9 6 5 0
15 80 5 9 0
58 28 0 8 0
44 38 1 0 0
11 91 8 7 0
16 42 1 2 0
73 19 2 9 0
56 40 3 2 0
17 42 9 5 0
78 75 3 1 0
65 60 8 8 0
57 4 1 0 0
74 56 0 0 0
53 34 2 3 0
60 6 2 5 0
69 13 7 1 0
92 58 6 6 0
2 28 1 8 0
12 84 9 5 0
78 61 9 6 0
60 66 4 1 0
0 19 0 9 0
2 27 2 7 0
55 10 6 8 0
89 89 3 1 0
5 27 4 3 0
74 40 7 3 0
99 62 2 0 0
38 83 7 7 0
25 89 1 3 0
71 98 3 3 0
15 1 1 3 0
47 20 8 3 0
81 51 9 3 0
43 25 2 5 0
24 34 8 6 0
84 63 4 1 0
97 37 6 0 0
21 54 4 6 0
19 23 7 8 0
18 51 2 6 0
22 2 6 8 0
67 29 7 2 0
48 37 7 0 0
12 98 5 2 0
62 58 7 9 0
34 99 7 6 0
7 41 2 6 0
14 62 8 2 0
80 46 0 4 0
34 40 0 1 0
51 13 1 2 0
18 3 2 6 0
87 56 1 0 0
81 58 8 0 0
77 11 5 4 0
98 79 3 9 0
42 13 1 0 0
15 62 6 2 0
1 31 5 5 0
20 24 6 3 0
46 25 3 0 0
88 2 2 3 0
33 63 0 1 0
88 25 0 1 0
50 39 9 1 0
22 34 5 0 0
0 43 8 8 0
75 1 7 5 0
41 77 9 5 0
37 28 0 9 0
8 47 1 8 0
17 68 5 0 0
6 76 0 3 0
75 36 4 1 0
67 23 7 2 0
71 17 5 2 0
16 17 8 7 0
5 45 2 4 0
38 14 1 4 0
26 36 0 0 0
81 65 1 7 0
60 81 4 5 0
94 86 3 8 0
74 80 2 8 0
64 16 4 3 0
82 90 8 2 0
63 19 1 9 0
32 65 1 0 0
2 29 0 1 0
85 1 7 7 0
79 54 3 8 0
47 88 0 2 0
5 41 3 5 0
71 78 6 0 0
83 57 5 4 0
81 5 6 6 0
36 19 7 1 0
84 46 6 5 0
33 23 0 8 0
57 50 7 7 0
34 7 5 2 0
80 94 1 9 0
87 12 0 8 0
78 79 6 8 0
51 76 5 3 0
88 87 4 1 0
52 66 7 6 0
60 65 6 1 0
1 19 3 3 0
5 41 0 1 0
1 32 0 1 0
45 76 3 3 0
86 9 2 9 0
26 84 3 2 0
44 31 6 0 0
28 65 9 6 0
92 73 7 2 0
